133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_BuyAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCAAndHold,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_DCASellOnProfit,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,133690_MonthlyDCA,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_BuyAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCAAndHold,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_DCASellOnProfit,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA,379800_MonthlyDCA
date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,date,remaining_capital,shares_held,total_value,holding_count,date,remaining_capital,shares_held,total_value
2019-03-06,5254.4000000003725,320,11316934.4,2019-03-06,7035303.755,88,10146015.754999999,2019-03-06,7953723.595,56,9933267.594999999,2,2019-03-06,9898515.225,3,10004562.225,2021-06-09,9491.01000000164,979.0,10120603.010000002,2021-06-09,7023840.345,288.0,9998304.344999999,2021-06-09,7023840.345,288.0,9998304.344999999,3.0,2021-06-09,9968995.81,3.0,9999979.81
2019-03-07,5254.4000000003725,320,11259014.4,2019-03-07,7035303.755,88,10130087.754999999,2019-03-07,7953723.595,56,9923131.594999999,2,2019-03-07,9898515.225,3,10004019.225,2021-06-10,9491.01000000164,979.0,10120603.010000002,2021-06-10,7023840.345,288.0,9998304.344999999,2021-06-10,7023840.345,288.0,9998304.344999999,3.0,2021-06-10,9968995.81,3.0,9999979.81
2019-03-08,5254.4000000003725,320,11126534.4,2019-03-08,7035303.755,88,10093655.754999999,2019-03-08,7953723.595,56,9899947.594999999,2,2019-03-08,9898515.225,3,10002777.225,2021-06-11,9491.01000000164,979.0,10120603.010000002,2021-06-11,7023840.345,288.0,9998304.344999999,2021-06-11,7023840.345,288.0,9998304.344999999,3.0,2021-06-11,9968995.81,3.0,9999979.81
2019-03-11,5254.4000000003725,320,11167494.4,2019-03-11,7035303.755,88,10104919.754999999,2019-03-11,7953723.595,56,9907115.594999999,2,2019-03-11,9898515.225,3,10003161.225,2021-06-14,9491.01000000164,979.0,10194028.010000002,2021-06-14,7023840.345,288.0,10019904.344999999,2021-06-14,7023840.345,288.0,10019904.344999999,3.0,2021-06-14,9968995.81,3.0,10000204.81
2019-03-12,5254.4000000003725,320,11379014.4,2019-03-12,7035303.755,88,10163087.754999999,2019-03-12,7953723.595,56,9944131.594999999,2,2019-03-12,9898515.225,3,10005144.225,2021-06-15,9491.01000000164,979.0,10238083.010000002,2021-06-15,7023840.345,288.0,10032864.344999999,2021-06-15,7023840.345,288.0,10032864.344999999,3.0,2021-06-15,9968995.81,3.0,10000339.81
2019-03-13,5254.4000000003725,320,11413574.4,2019-03-13,7035303.755,88,10172591.754999999,2019-03-13,7953723.595,56,9950179.594999999,2,2019-03-13,9898515.225,3,10005468.225,2021-06-16,9491.01000000164,979.0,10198923.010000002,2021-06-16,7023840.345,288.0,10021344.344999999,2021-06-16,7023840.345,288.0,10021344.344999999,3.0,2021-06-16,9968995.81,3.0,10000219.81
2019-03-14,5254.4000000003725,320,11512454.4,2019-03-14,7035303.755,88,10199783.754999999,2019-03-14,7953723.595,56,9967483.594999999,2,2019-03-14,9898515.225,3,10006395.225,2021-06-17,9491.01000000164,979.0,10208713.010000002,2021-06-17,7023840.345,288.0,10024224.344999999,2021-06-17,7023840.345,288.0,10024224.344999999,3.0,2021-06-17,9968995.81,3.0,10000249.81
2019-03-15,5254.4000000003725,320,11607494.4,2019-03-15,7035303.755,88,10225919.754999999,2019-03-15,7953723.595,56,9984115.594999999,2,2019-03-15,9898515.225,3,10007286.225,2021-06-18,9491.01000000164,979.0,10282138.010000002,2021-06-18,7023840.345,288.0,10045824.344999999,2021-06-18,7023840.345,288.0,10045824.344999999,3.0,2021-06-18,9968995.81,3.0,10000474.81
2019-03-18,5254.4000000003725,320,11637254.4,2019-03-18,7035303.755,88,10234103.754999999,2019-03-18,7953723.595,56,9989323.594999999,2,2019-03-18,9898515.225,3,10007565.225,2021-06-21,9491.01000000164,979.0,10140183.010000002,2021-06-21,7023840.345,288.0,10004064.344999999,2021-06-21,7023840.345,288.0,10004064.344999999,3.0,2021-06-21,9968995.81,3.0,10000039.81
2019-03-19,5254.4000000003725,320,11607494.4,2019-03-19,7035303.755,88,10225919.754999999,2019-03-19,7953723.595,56,9984115.594999999,2,2019-03-19,9898515.225,3,10007286.225,2021-06-22,9491.01000000164,979.0,10282138.010000002,2021-06-22,7023840.345,288.0,10045824.344999999,2021-06-22,7023840.345,288.0,10045824.344999999,3.0,2021-06-22,9968995.81,3.0,10000474.81
2019-03-20,5254.4000000003725,320,11646534.4,2019-03-20,7035303.755,88,10236655.754999999,2019-03-20,7953723.595,56,9990947.594999999,2,2019-03-20,9898515.225,3,10007652.225,2021-06-23,9491.01000000164,979.0,10388849.010000002,2021-06-23,7023840.345,288.0,10077216.344999999,2021-06-23,7023840.345,288.0,10077216.344999999,3.0,2021-06-23,9968995.81,3.0,10000801.81
